id SMILES S0S1 S0T1 T1S1 OS
67 c1cc2nnnc3nccc(n1)-n-2-3 1.964149 2.052004 -0.087855 0.003821
68 c1cc2nnnc3ncnc(n1)-n-2-3 2.045755 2.199292 -0.153537 0.008647
69 c1cc2nnnc3nncc(n1)-n-2-3 2.179692 2.135732 0.04396 0.00216
70 c1cc2nnnc3nnnc(c1)-n-2-3 1.629406 1.802445 -0.173039 0.000657
71 c1cc2nnnc3nnnc(n1)-n-2-3 1.897802 2.061805 -0.164003 0.003485
72 c1nc2ccnc3nccc(n1)-n-2-3 2.036995 2.246424 -0.209429 0.000106
73 c1nc2ccnc3nncc(n1)-n-2-3 1.880001 2.02296 -0.142959 0.002008
74 c1nc2cncc3cncc(n1)-n-3-2 1.370857 1.435489 -0.064632 0.004436
75 c1nc2cncc3cnnc(n1)-n-3-2 1.861059 1.756718 0.104341 0.006287
76 c1nc2cncc3ncnc(n1)-n-2-3 1.969876 2.06195 -0.092074 0.006771
77 c1nc2cncc3nncc(n1)-n-2-3 1.749622 1.77276 -0.023138 0.003044
78 c1nc2cncc3nnnc(n1)-n-2-3 1.753502 1.854705 -0.101203 0.003304
79 c1nc2cnnc3cnnc(n1)-n-2-3 2.328654 2.20501 0.123644 0.003292
80 c1nc2cnnc3ncnc(n1)-n-2-3 2.245303 2.333184 -0.087881 0.006006
81 c1nc2cnnc3nncc(n1)-n-2-3 1.698637 1.866936 -0.168299 0.000942
82 c1nc2cnnc3nnnc(n1)-n-2-3 2.181614 2.256134 -0.07452 0.000527
83 c1nc2ncnc3ncnc(n1)-n-2-3 2.578033 2.8559 -0.277867 0.0
84 c1nc2ncnc3nnnc(n1)-n-2-3 2.299998 2.265108 0.03489 0.006445
85 c1nc2nncc3cnnc(n1)-n-3-2 1.650221 1.690724 -0.040503 0.01005
86 c1nc2nncc3nnnc(n1)-n-3-2 2.036371 2.053424 -0.017053 0.008183
87 c1nc2nnnc3nnnc(n1)-n-2-3 2.059563 2.012426 0.047137 0.004572
88 c1ncc2cncc3cncc1-n-2-3 0.69321 0.790657 -0.097447 0.0
89 c1ncc2cnnc3cncc1-n-2-3 1.700065 1.364509 0.335556 0.001088
90 c1ncc2cnnc3nncc1-n-2-3 1.076481 1.151048 -0.074567 0.001029
91 c1ncc2nncc3nncc1-n-2-3 2.211239 1.80773 0.403509 0.001753
92 c1ncc2nnnc3cncc1-n-2-3 1.143638 1.254116 -0.110478 9e-05
93 c1ncc2nnnc3cnnc1-n-2-3 1.846269 1.714609 0.13166 0.000391
94 c1ncc2nnnc3nncc1-n-2-3 1.858243 1.724282 0.133961 0.004526
95 c1ncc2nnnc3nnnc1-n-2-3 1.517599 1.674787 -0.157188 6e-06
96 c1nnc2cncc3nncc1-n-2-3 1.036814 1.134366 -0.097552 0.000829
97 c1nnc2cnnc3cnnc1-n-3-2 2.700692 2.280808 0.419884 0.0
98 c1nnc2cnnc3nncc1-n-2-3 1.800057 1.625739 0.174318 0.003781
99 c1nnc2nncc3nnnc1-n-3-2 1.41606 1.569129 -0.153069 0.000957
100 c1nnc2nnnc3cnnc1-n-3-2 2.430756 2.207602 0.223154 0.003329
101 c1nnc2nnnc3nncc1-n-2-3 1.476172 1.597087 -0.120915 0.001778
102 c1nnc2nnnc3nnnc1-n-2-3 2.140995 2.056416 0.084579 0.002597
103 n1nc2nnnc3nnnc(n1)-n-2-3 1.83408 1.930159 -0.096079 0.0
104 CC1=CC2=CC=CC3=CC=CC(=C1)N23 1.07932 1.24392 -0.1646 1.6e-05
105 CC1=CC=C2C=CC=C3C=CC=C1N23 1.09716 1.22632 -0.12916 1.5e-05
106 NC1=CC2=CC=CC3=CC=CC(=C1)N23 1.313383 1.464163 -0.15078 0.002551
107 NC1=CC=C2C=CC=C3C=CC=C1N23 1.141242 1.157043 -0.015801 0.000594
108 CNC1=CC2=CC=CC3=CC=CC(=C1)N23 1.350042 1.4877 -0.137658 0.003434
109 CNC1=CC=C2C=CC=C3C=CC=C1N23 1.02127 1.143112 -0.121842 0.000169
110 C=CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.987194 1.110748 -0.123554 0.000726
111 C=CC1=CC=C2C=CC=C3C=CC=C1N23 1.055746 1.209025 -0.153279 0.000512
112 C#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.934521 1.071455 -0.136934 0.000417
113 C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C 1.094305 1.2431 -0.148795 0.00054
114 [C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23 0.975636 1.120149 -0.144513 0.000286
115 [C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23 1.081133 1.235743 -0.15461 0.000468
116 N#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.908485 1.017597 -0.109112 0.000683
117 N#CC1=CC=C2C=CC=C3C=CC=C1N23 1.193046 1.323711 -0.130665 0.000391
118 CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23 1.33952 1.481742 -0.142222 0.003273
119 CN(C)C1=CC=C2C=CC=C3C=CC=C1N23 1.004602 1.159645 -0.155043 5.5e-05
