SMILES EXCINT
CNC1=CC=C2C=CC=C3C=CC=C1N23 0.005656
C=CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.006743
C=CC1=CC=C2C=CC=C3C=CC=C1N23 0.004758
C#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.006479
C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C 0.005152
[C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23 0.006334
[C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23 0.005138
N#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.007787
N#CC1=CC=C2C=CC=C3C=CC=C1N23 0.005408
CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23 0.006649
CN(C)C1=CC=C2C=CC=C3C=CC=C1N23 0.005459
CC1=NC2=NC=NC3=NC=NC(=N1)N23 0.005458
NC1=NC2=NC=NC3=NC=NC(=N1)N23 0.009945
CNC1=NC2=NC=NC3=NC=NC(=N1)N23 0.010751
C=CC1=NC2=NC=NC3=NC=NC(=N1)N23 0.006071
C#CC1=NC2=NC=NC3=NC=NC(=N1)N23 0.006749
[C-]#[N+]C1=NC2=NC=NC3=NC=NC(=N1)N23 0.006445
N#CC1=NC2=NC=NC3=NC=NC(=N1)N23 0.008120
CN(C)C1=NC2=NC=NC3=NC=NC(=N1)N23 0.010997
CC1=CC2=CC=NC3=NC=CC(=C1)N23 0.006131
CC1=CC2=CC=CC3=CC=NC(=N1)N23 0.007151
CC1=CC=C2C=CN=C3N=CC=C1N23 0.007154
CC1=CN=C2N=CC=C3C=CC=C1N23 0.007048
NC1=CC2=CC=NC3=NC=CC(=C1)N23 0.005446
NC1=CC2=CC=CC3=CC=NC(=N1)N23 0.011956
NC1=CC=C2C=CN=C3N=CC=C1N23 0.011187
NC1=CN=C2N=CC=C3C=CC=C1N23 0.008410
CNC1=CC2=CC=NC3=NC=CC(=C1)N23 0.005499
CNC1=CC2=CC=CC3=CC=NC(=N1)N23 0.012672
CNC1=CC=C2C=CN=C3N=CC=C1N23 0.009340
