SMILES S0S1 S0T1 T1S1 OS
C=CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.987194 1.110748 -0.123554 0.000726
C=CC1=CC=C2C=CC=C3C=CC=C1N23 1.055746 1.209025 -0.153279 0.000512
C#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.934521 1.071455 -0.136934 0.000417
C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C 1.094305 1.243100 -0.148795 0.000540
[C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23 0.975636 1.120149 -0.144513 0.000286
[C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23 1.081133 1.235743 -0.15461 0.000468
N#CC1=CC2=CC=CC3=CC=CC(=C1)N23 0.908485 1.017597 -0.109112 0.000683
N#CC1=CC=C2C=CC=C3C=CC=C1N23 1.193046 1.323711 -0.130665 0.000391
CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23 1.339520 1.481742 -0.142222 0.003273
CN(C)C1=CC=C2C=CC=C3C=CC=C1N23 1.004602 1.159645 -0.155043 0.000055
CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.629100 2.907485 -0.278385 0.000132
NC1=NC2=NC=NC3=NC=NC(=N1)N23 2.964788 3.174110 -0.209322 0.014191
CNC1=NC2=NC=NC3=NC=NC(=N1)N23 2.990932 3.187595 -0.196663 0.016011
C=CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.558106 2.823845 -0.265739 0.000215
C#CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.499777 2.755983 -0.256206 0.000611
[C-]#[N+]C1=NC2=NC=NC3=NC=NC(=N1)N23 2.562513 2.827327 -0.264814 0.000173
N#CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.471574 2.701065 -0.229491 0.001255
CN(C)C1=NC2=NC=NC3=NC=NC(=N1)N23 2.997856 3.192096 -0.19424 0.015841
CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.582521 1.742269 -0.159748 0.002082
CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.586847 1.732186 -0.145339 0.004203
CC1=CC=C2C=CN=C3N=CC=C1N23 1.551297 1.686950 -0.135653 0.002829
CC1=CN=C2N=CC=C3C=CC=C1N23 1.535823 1.670190 -0.134367 0.003025
NC1=CC2=CC=NC3=NC=CC(=C1)N23 1.860428 2.040804 -0.180376 0.000112
NC1=CC2=CC=CC3=CC=NC(=N1)N23 1.858946 1.935786 -0.07684 0.013063
NC1=CC=C2C=CN=C3N=CC=C1N23 1.470889 1.530390 -0.059501 0.005723
NC1=CN=C2N=CC=C3C=CC=C1N23 1.438975 1.525267 -0.086292 0.003098
CNC1=CC2=CC=NC3=NC=CC(=C1)N23 1.903132 2.073918 -0.170786 0.000529
CNC1=CC2=CC=CC3=CC=NC(=N1)N23 1.915053 1.960937 -0.045884 0.015832
CNC1=CC=C2C=CN=C3N=CC=C1N23 1.471691 1.585218 -0.113527 0.004420
CNC1=CN=C2N=CC=C3C=CC=C1N23 1.457109 1.518973 -0.061864 0.002933
C=CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.451971 1.566546 -0.114575 0.005318
C=CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.515649 1.649598 -0.133949 0.005868
C=CC1=CC=C2C=CN=C3N=CC=C1N23 1.505694 1.646292 -0.140598 0.005109
C=CC1=CN=C2N=CC=C3C=CC=C1N23 1.507738 1.655458 -0.14772 0.000940
C#CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.417081 1.527511 -0.11043 0.005173
C#CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.455951 1.590832 -0.134881 0.003585
C#CC1=CC=C2C=CN=C3N=CC=C1N23 1.532167 1.681426 -0.149259 0.005722
C#CC1=CN=C2N=CC=C3C=CC=C1N23 1.556420 1.707537 -0.151117 0.000601
[C-]#[N+]C1=CC2=CC=NC3=NC=CC(=C1)N23 1.446965 1.573490 -0.126525 0.004740
[C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N23 1.510023 1.649476 -0.139453 0.003326
[C-]#[N+]C1=CC=C2C=CN=C3N=CC=C1N23 1.522848 1.672926 -0.150078 0.005055
[C-]#[N+]C1=CN=C2N=CC=C3C=CC=C1N23 1.552499 1.705106 -0.152607 0.000686
N#CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.366863 1.445632 -0.078769 0.006234
N#CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.449046 1.555462 -0.106416 0.002377
N#CC1=CC=C2C=CN=C3N=CC=C1N23 1.594927 1.744732 -0.149805 0.004990
N#CC1=CN=C2N=CC=C3C=CC=C1N23 1.650613 1.800434 -0.149821 0.000528
CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23 1.884850 2.056214 -0.171364 0.000292
CN(C)C1=CC2=CC=CC3=CC=NC(=N1)N23 1.886997 1.952595 -0.065598 0.016735
CN(C)C1=CC=C2C=CN=C3N=CC=C1N23 1.482487 1.596908 -0.114421 0.004265
CN(C)C1=CN=C2N=CC=C3C=CC=C1N23 1.475047 1.596678 -0.121631 0.002254
CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.903040 2.043615 -0.140575 0.003283
CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.916776 2.043854 -0.127078 0.006830
CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.898276 2.023471 -0.125195 0.004787
CC1=CC=C2N=CN=C3N=CC=C1N23 1.827283 1.953825 -0.126542 0.004217
CC1=CC=C2C=CN=C3N=CN=C1N23 1.893715 1.990036 -0.096321 0.004218
CC1=CN=C2N=CN=C3C=CC=C1N23 1.889358 1.989054 -0.099696 0.004779
NC1=CC2=CC=NC3=NC=NC(=C1)N23 2.177311 2.329036 -0.151725 0.000651
NC1=NC2=NC=NC3=CC=CC(=C1)N23 2.135117 2.221410 -0.086293 0.016788
NC1=NC2=CC=CC3=CC=NC(=N1)N23 2.200547 2.225326 -0.024779 0.023496
NC1=CC=C2N=CN=C3N=CC=C1N23 1.672478 1.738826 -0.066348 0.007726
NC1=CC=C2C=CN=C3N=CN=C1N23 1.790721 1.749767 0.040954 0.008999
NC1=CN=C2N=CN=C3C=CC=C1N23 1.809667 1.832669 -0.023002 0.006401
CNC1=CC2=CC=NC3=NC=NC(=C1)N23 2.226528 2.362439 -0.135911 0.000701
CNC1=NC2=NC=NC3=CC=CC(=C1)N23 2.144885 2.214385 -0.0695 0.018900
